Palabra | Probabilidad | Informacion
AAA     : 0.06330633063 (2.5120508602516)
AAB     : 0.06240624062 (2.5250855349248)
AAC     : 0.03240324032 (3.1216625615405)
ABA     : 0.06870687069 (2.4375351544629)
ABB     : 0.06570657066 (2.4781775850987)
ABC     : 0.03150315032 (3.1473047988040)
ACA     : 0.03300330033 (3.1049604557499)
ACB     : 0.03510351035 (3.0488045492106)
ACC     : 0.01470147015 (3.8410345703605)
BAA     : 0.05940594059 (2.5699339764678)
BAB     : 0.06150615062 (2.5383095819455)
BAC     : 0.02910291029 (3.2194406855692)
BBA     : 0.06600660066 (2.4740307021784)
BBB     : 0.07200720072 (2.3948295336796)
BBC     : 0.02820282028 (3.2480369397322)
BCA     : 0.03210321032 (3.1301299642432)
BCB     : 0.03180318032 (3.1386768742374)
BCC     : 0.01680168017 (3.7194890588076)
CAA     : 0.03120312031 (3.1560152884962)
CAB     : 0.03420342034 (3.0724484558655)
CAC     : 0.01500150015 (3.8226452736761)
CBA     : 0.03210321032 (3.1301299642432)
CBB     : 0.03360336034 (3.0885593052361)
CBC     : 0.01590159016 (3.7696066278089)
CCA     : 0.01230123012 (4.0032831026634)
CCB     : 0.01410141014 (3.8789666933036)
CCC     : 0.00780078008 (4.4178747956391)
Las palabras que no aparecen en el archivo tienen probabilidad 0.
Entropia: 2.869358523879204
