Codigo codigo.Huffman

Palabra | Codigo
AAAAA   | 1010100
AAAAB   | 1100011
AAAAC   | 10010101
AAABA   | 1011111
AAABB   | 1111110
AAABC   | 0010001
AAACA   | 0101011
AAACB   | 1000011
AAACC   | 100111110
AABAA   | 010010
AABAB   | 1101011
AABAC   | 11110110
AABBA   | 1101101
AABBB   | 1110110
AABBC   | 0111100
AABCA   | 11011101
AABCB   | 11010010
AABCC   | 101000000
AACAA   | 10110100
AACAB   | 00111010
AACAC   | 11110001
AACBA   | 11111011
AACBB   | 0111101
AACBC   | 111001011
AACCA   | 1010001010
AACCB   | 100100110
AACCC   | 10011111110
ABAAA   | 1111111
ABAAB   | 001101
ABAAC   | 0111001
ABABA   | 1101111
ABABB   | 001010
ABABC   | 11100110
ABACA   | 1100000
ABACB   | 11010011
ABACC   | 00001011
ABBAA   | 1101100
ABBAB   | 1001011
ABBAC   | 11100000
ABBBA   | 1011101
ABBBB   | 001111
ABBBC   | 10001011
ABBCA   | 10111101
ABBCB   | 11110100
ABBCC   | 00010011
ABCAA   | 10011110
ABCAB   | 0010111
ABCAC   | 111010010
ABCBA   | 11110101
ABCBB   | 0111110
ABCBC   | 100110100
ABCCA   | 10100010000
ABCCB   | 10111100
ABCCC   | 000001000
ACAAA   | 11110010
ACAAB   | 10001000
ACAAC   | 00000101
ACABA   | 0101000
ACABB   | 10100111
ACABC   | 100011010
ACACA   | 11101010
ACACB   | 001011011
ACACC   | 000011011
ACBAA   | 110100010
ACBAB   | 0110001
ACBAC   | 100011000
ACBBA   | 100110001
ACBBB   | 11110000
ACBBC   | 001100110
ACBCA   | 110101000
ACBCB   | 110101001
ACBCC   | 001001011
ACCAA   | 001100111
ACCAB   | 101000001
ACCAC   | 100010101
ACCBA   | 001110010
ACCBB   | 001110001
ACCBC   | 001110011
ACCCA   | 100100001
BAAAA   | 010001
BAAAB   | 1100010
BAAAC   | 100011110
BAABA   | 0110000
BAABB   | 1011011
BAABC   | 0101010
BAACA   | 11100111
BAACB   | 10110000
BAACC   | 100101000
BABAA   | 0110110
BABAB   | 000000
BABAC   | 11101111
BABBA   | 1100100
BABBB   | 010110
BABBC   | 11110111
BABCA   | 01100111
BABCB   | 10100011
BABCC   | 1010010001
BACAA   | 1000001
BACAB   | 0100111
BACAC   | 00100000
BACBA   | 10111000
BACBB   | 11111010
BACBC   | 111010011
BACCA   | 000001001
BACCB   | 100100111
BACCC   | 10100010001
BBAAA   | 1100110
BBAAB   | 1010101
BBAAC   | 01100100
BBABA   | 000111
BBABB   | 0110111
BBABC   | 0000011
BBACA   | 000011010
BBACB   | 11101000
BBACC   | 1010000110
BBBAA   | 101011
BBBAB   | 010111
BBBAC   | 11100001
BBBBA   | 011101
BBBBB   | 010000
BBBBC   | 10110010
BBBCA   | 0100110
BBBCB   | 01100101
BBBCC   | 100011011
BBCAA   | 10011101
BBCAB   | 11110011
BBCAC   | 10110011
BBCBA   | 11001111
BBCBB   | 11101011
BBCBC   | 00001010
BBCCA   | 01101000
BBCCB   | 100011001
BBCCC   | 10011111111
BCAAA   | 100110000
BCAAB   | 0000100
BCAAC   | 1001100100
BCABA   | 11100100
BCABB   | 0001101
BCABC   | 1001100101
BCACA   | 01101001
BCACB   | 10100010010
BCACC   | 100110011
BCBAA   | 00011000
BCBAB   | 00011001
BCBAC   | 001001000
BCBBA   | 11010000
BCBBB   | 10110101
BCBBC   | 001001001
BCBCA   | 110011101
BCBCB   | 100010100
BCBCC   | 1001001010
BCCAA   | 100100010
BCCAB   | 00110010
BCCAC   | 100100011
BCCBA   | 01110000
BCCBB   | 1001001011
BCCBC   | 1000111110
BCCCA   | 100100000
BCCCB   | 10100010011
BCCCC   | 001100010
CAAAA   | 10111001
CAAAB   | 10110001
CAAAC   | 001100011
CAABA   | 1000010
CAABB   | 0010011
CAABC   | 00111011
CAACA   | 00010100
CAACB   | 01110001
CAACC   | 1001101010
CABAA   | 00010101
CABAB   | 0101001
CABAC   | 000011000
CABBA   | 1110001
CABBB   | 11111000
CABBC   | 110101010
CABCA   | 00110000
CABCB   | 00010010
CABCC   | 000011001
CACAA   | 000011110
CACAB   | 100101001
CACAC   | 1001101011
CACBA   | 00010000
CACBB   | 1000111111
CACBC   | 1010010000
CACCA   | 000011111
CACCB   | 10001001110
CACCC   | 10001001111
CBAAA   | 1000000
CBAAB   | 11000010
CBAAC   | 110101011
CBABA   | 11000011
CBABB   | 11001011
CBABC   | 110010100
CBACA   | 10011011
CBACB   | 000101100
CBACC   | 1010010110
CBBAA   | 11101110
CBBAB   | 11011100
CBBAC   | 110010101
CBBBA   | 11111001
CBBBB   | 0111111
CBBBC   | 01101010
CBBCA   | 1010010111
CBBCB   | 00100001
CBBCC   | 1000100110
CBCAA   | 00001110
CBCAB   | 00010111
CBCAC   | 111001010
CBCBA   | 01101011
CBCBB   | 01100110
CBCBC   | 000101101
CBCCA   | 1010001011
CBCCB   | 1010000100
CBCCC   | 00111000010
CCAAA   | 100011100
CCAAB   | 110011100
CCABA   | 110100011
CCABB   | 1010000101
CCABC   | 00111000011
CCACA   | 1001110000
CCACC   | 1001110001
CCBAA   | 100111001
CCBAB   | 101001001
CCBAC   | 101001010
CCBBA   | 00010001
CCBBB   | 101001100
CCBBC   | 001011010
CCBCA   | 0011100000
CCBCB   | 101001101
CCCAB   | 100011101
CCCAC   | 1010000111
CCCBA   | 001001010
CCCBB   | 1000100100
CCCBC   | 00101100
CCCCA   | 1000100101
CCCCB   | 100100100
CCCCC   | 1001111110
